🕘️更新时间,#genre#
Canal Showsport (720p),http://10.0.0.66:8080/hls/471ed505828633e047c637ea.m3u8
Canal+ Sport 360,http://10.0.0.66:8080/hls/4fcc3bdeaacc3c13107c5048.m3u8
CazeTV (1080i),http://10.0.0.66:8080/hls/4fa229b06a4af40e8f5d2195.m3u8
CBC Sport HD [Geo-blocked],http://10.0.0.66:8080/hls/4e920e486c4c0b52c9c376e4.m3u8
CBS Sports Golazo Network (720p),http://10.0.0.66:8080/hls/8333483a75efd9ac8c8dea04.m3u8
CBS Sports HQ (1080p) [Geo-blocked],http://10.0.0.66:8080/hls/5ff54c6a42d4aed82fd90fd9.m3u8
Claro Sports (720p),http://10.0.0.66:8080/hls/886b1969a57c3c491493a931.m3u8
ColimdoT TV (720p),http://10.0.0.66:8080/hls/8ab52314c07c7b55c61928d6.m3u8
Combate (720p),http://10.0.0.66:8080/hls/62aff559ce39b86ee0ce16a3.m3u8
Cricket Gold (1080p),http://10.0.0.66:8080/hls/9b558fd8ca19e8d142471d9e.m3u8
CRTV (720p),http://10.0.0.66:8080/hls/7e05e31c919f31cf35bf5dcd.m3u8
ČT Sport (720p),http://10.0.0.66:8080/hls/bf0256b8d17c1536f3b06eb2.m3u8
Cytavision Sports 1 (1080p),http://10.0.0.66:8080/hls/d5ac58a87f0d2652c8cff981.m3u8
Cytavision Sports 2 (1080p),http://10.0.0.66:8080/hls/aab64f66ff54b3268a385314.m3u8
Cytavision Sports 3 (1080p),http://10.0.0.66:8080/hls/33996281cedb8066a78043eb.m3u8
Cytavision Sports 4 (720p),http://10.0.0.66:8080/hls/4a746f94ed23401acb7d2d96.m3u8
Cytavision Sports 5 (720p),http://10.0.0.66:8080/hls/16368cc12848a7d9fa5a4a6a.m3u8
DAZN 5,http://10.0.0.66:8080/hls/3ddc876e54989c4221242e44.m3u8
DAZN Combat (684p),http://10.0.0.66:8080/hls/90d4f9848df836bae0159577.m3u8
DAZN Darts x Pluto TV,http://10.0.0.66:8080/hls/519bb25c92df0d27293baada.m3u8
DAZN Heldinnen x Pluto TV,http://10.0.0.66:8080/hls/ce7e8d372ebd969e60048cd0.m3u8
